,Symbol,Name,Sector,Industry,Founded,Date first added,Headquarters Location
0,MMM,3M,Industrials,Industrial Conglomerates,1902.0,1976.8.9,"St. Paul, Minnesota"
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,1888.0,1964.3.31,"North Chicago, Illinois"
2,ABBV,AbbVie,Health Care,Pharmaceuticals,2013.0,2012.12.31,"North Chicago, Illinois"
3,ABMD,Abiomed,Health Care,Health Care Equipment,1981.0,2018.5.31,"Danvers, Massachusetts"
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,1989.0,2011.7.6,"Dublin, Ireland"
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2008.0,2015.8.31,"Santa Monica, California"
6,ADBE,Adobe,Information Technology,Application Software,1982.0,1997.5.5,"San Jose, California"
7,AMD,Advanced Micro Devices,Information Technology,Semiconductors,1969.0,2017.3.20,"Santa Clara, California"
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,1932.0,2015.7.9,"Raleigh, North Carolina"
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1981.0,1998.10.2,"Arlington, Virginia"
10,AFL,Aflac,Financials,Life & Health Insurance,1955.0,1999.5.28,"Columbus, Georgia"
11,A,Agilent Technologies,Health Care,Health Care Equipment,1999.0,2000.6.5,"Santa Clara, California"
12,APD,Air Products & Chemicals,Materials,Industrial Gases,1940.0,1985.4.30,"Allentown, Pennsylvania"
13,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998.0,2007.7.12,"Cambridge, Massachusetts"
14,ALK,Alaska Air Group,Industrials,Airlines,1985.0,2016.5.13,"Seattle, Washington"
15,ALB,Albemarle Corporation,Materials,Specialty Chemicals,1994.0,2016.7.1,"Charlotte, North Carolina"
16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1994.0,2017.3.20,"Pasadena, California"
17,ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,1992.0,2012.5.25,"Boston, Massachusetts"
18,ALGN,Align Technology,Health Care,Health Care Supplies,1997.0,2017.6.19,"San Jose, California"
19,ALLE,Allegion,Industrials,Building Products,1908.0,2013.12.2,"Dublin, Ireland"
20,LNT,Alliant Energy,Utilities,Electric Utilities,1917.0,2016.7.1,"Madison, Wisconsin"
21,ALL,Allstate Corp,Financials,Property & Casualty Insurance,1931.0,1995.7.13,"Northfield Township, Illinois"
22,GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,1998.0,2014.4.3,"Mountain View, California"
23,GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,1998.0,2006.4.3,"Mountain View, California"
24,MO,Altria Group,Consumer Staples,Tobacco,1985.0,1957.3.4,"Richmond, Virginia"
25,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,1994.0,2005.11.18,"Seattle, Washington"
26,AMCR,Amco,Materials,Paper Packaging,2019.0,2019.6.7,"Warmley, Bristol, United Kingdom"
27,AEE,Ameren Corp,Utilities,Multi-Utilities,1902.0,1991.9.19,"St. Louis, Missouri"
28,AAL,American Airlines Group,Industrials,Airlines,1934.0,2015.3.23,"Fort Worth, Texas"
29,AEP,American Electric Power,Utilities,Electric Utilities,1906.0,1957.3.4,"Columbus, Ohio"
30,AXP,American Express,Financials,Consumer Finance,1850.0,1976.6.30,"New York, New York"
31,AIG,American International Group,Financials,Property & Casualty Insurance,1919.0,1980.3.31,"New York, New York"
32,AMT,American Tower,Real Estate,Specialized REITs,1995.0,2007.11.19,"Boston, Massachusetts"
33,AWK,American Water Works,Utilities,Water Utilities,1886.0,2016.3.4,"Camden, New Jersey"
34,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1894.0,2005.10.3,"Minneapolis, Minnesota"
35,ABC,AmerisourceBergen,Health Care,Health Care Distributors,1985.0,2001.8.30,"Chesterbrook, Pennsylvania"
36,AME,Ametek,Industrials,Electrical Components & Equipment,1930.0,2013.9.23,"Berwyn, Pennsylvania"
37,AMGN,Amgen,Health Care,Biotechnology,1980.0,1992.1.2,"Thousand Oaks, California"
38,APH,Amphenol Corp,Information Technology,Electronic Components,1932.0,2008.9.30,"Wallingford, Connecticut"
39,ADI,Analog Devices,Information Technology,Semiconductors,1965.0,1999.10.12,"Norwood, Massachusetts"
40,ANSS,Ansys,Information Technology,Application Software,1969.0,2017.6.19,"Canonsburg, Pennsylvania"
41,ANTM,Anthem,Health Care,Managed Health Care,2014.0,2002.7.25,"Indianapolis, Indiana"
42,AON,Aon,Financials,Insurance Brokers,1982.0,1996.4.23,"London, United Kingdom"
43,AOS,AO Smith,Industrials,Building Products,1916.0,2017.7.26,"Milwaukee, Wisconsin"
44,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1954.0,1997.7.28,"Houston, Texas"
45,AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",1977.0,1982.11.30,"Cupertino, California"
46,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1967.0,1995.3.16,"Santa Clara, California"
47,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,1994.0,2012.12.24,"Dublin, Ireland"
48,ADM,ADM,Consumer Staples,Agricultural Products,1902.0,1981.7.29,"Chicago, Illinois"
49,ANET,Arista Networks,Information Technology,Communications Equipment,2004.0,2018.8.28,"Santa Clara, California"
50,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1927.0,2016.5.31,"Rolling Meadows, Illinois"
51,AIZ,Assurant,Financials,Multi-line Insurance,1892.0,2007.4.10,"New York, New York"
52,T,AT&T,Communication Services,Integrated Telecommunication Services,1983.0,1983.3.4,"Dallas, Texas"
53,ATO,Atmos Energy,Utilities,Gas Utilities,1906.0,2019.2.15,"Dallas, Texas"
54,ADSK,Autodesk,Information Technology,Application Software,1982.0,1989.12.1,"San Rafael, California"
55,ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,1949.0,1981.3.31,"Roseland, New Jersey"
56,AZO,AutoZone,Consumer Discretionary,Specialty Stores,1979.0,1997.1.2,"Memphis, Tennessee"
57,AVB,AvalonBay Communities,Real Estate,Residential REITs,1978.0,2007.1.10,"Arlington, Virginia[3]"
58,AVY,Avery Dennison,Materials,Paper Packaging,1990.0,1987.12.31,"Glendale, California"
59,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017.0,2017.7.7,"Houston, Texas"
60,BLL,Ball Corp,Materials,Metal & Glass Containers,1880.0,1984.10.31,"Broomfield, Colorado"
61,BAC,Bank of America,Financials,Diversified Banks,1998.0,1976.6.30,"Charlotte, North Carolina"
62,BK,BNY Mellon,Financials,Asset Management & Custody Banks,1784.0,1995.3.31,"New York, New York"
63,BAX,Baxter International,Health Care,Health Care Equipment,1931.0,1972.9.30,"Deerfield, Illinois"
64,BDX,Becton Dickinson,Health Care,Health Care Equipment,1897.0,1972.9.30,"Franklin Lakes, New Jersey"
65,BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings,1839.0,1905.6.18,"Kiewit Plaza, Omaha, Nebraska, U.S."
66,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1966.0,1999.6.29,"Richfield, Minnesota"
67,BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,1952.0,2020.6.22,"Hercules, California"
68,BIIB,Biogen,Health Care,Biotechnology,1978.0,2003.11.13,"Cambridge, Massachusetts"
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,1988.0,2011.4.4,"New York, New York"
70,BA,Boeing Company,Industrials,Aerospace & Defense,1916.0,1957.3.4,"Chicago, Illinois"
71,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,1996.0,2009.11.6,"Norwalk, Connecticut"
72,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,1880.0,2011.12.19,"Auburn Hills, Michigan"
73,BXP,Boston Properties,Real Estate,Office REITs,1970.0,2006.4.3,"Boston, Massachusetts"
74,BSX,Boston Scientific,Health Care,Health Care Equipment,1979.0,1995.2.24,"Marlborough, Massachusetts[4]"
75,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,1989.0,1957.3.4,"New York, New York"
76,AVGO,Broadcom,Information Technology,Semiconductors,1961.0,2014.5.8,"San Jose, California"
77,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,1962.0,2018.6.18,"Lake Success, New York"
78,BFB,Brown-Forman,Consumer Staples,Distillers & Vintners,1933.0,2013.3.15,"Louisville, Kentucky"
79,CHRW,C. H. Robinson,Industrials,Air Freight & Logistics,1905.0,2007.3.2,"Eden Prairie, Minnesota"
80,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,1989.0,2008.6.23,"Houston, Texas"
81,CDNS,Cadence Design Systems,Information Technology,Application Software,1988.0,2017.9.18,"San Jose, California"
82,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,1973.0,2021.3.22,"Reno, Nevada"
83,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,1869.0,1957.3.4,"Camden, New Jersey"
84,COF,Capital One Financial,Financials,Consumer Finance,1994.0,1998.7.1,"Tysons Corner, Virginia"
85,CAH,Cardinal Health,Health Care,Health Care Distributors,1971.0,1997.5.27,"Dublin, Ohio"
86,KMX,CarMax,Consumer Discretionary,Specialty Stores,1993.0,2010.6.28,"Richmond, Virginia"
87,CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1972.0,1998.12.22,"Miami, Florida"
88,CARR,Carrier Global,Industrials,Building Products,2020.0,2020.4.3,"Palm Beach Gardens, Florida"
89,CTLT,Catalent,Health Care,Pharmaceuticals,2007.0,2020.9.21,"Somerset, New Jersey"
90,CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,1925.0,1957.3.4,"Deerfield, Illinois"
91,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973.0,2017.3.1,"Chicago, Illinois"
92,CBRE,CBRE,Real Estate,Real Estate Services,1906.0,2006.11.10,"Dallas, Texas"
93,CDW,CDW,Information Technology,Technology Distributors,1984.0,2019.9.23,"Lincolnshire, Illinois"
94,CE,Celanese,Materials,Specialty Chemicals,1918.0,2018.12.24,"Irving, Texas"
95,CNC,Centene Corporation,Health Care,Managed Health Care,1984.0,2016.3.30,"St. Louis, Missouri"
96,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1882.0,1985.7.31,"Houston, Texas"
97,CERN,Cerner,Health Care,Health Care Technology,1979.0,2010.4.30,"North Kansas City, Missouri"
98,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1946.0,2008.8.27,"Deerfield, Illinois"
99,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1947.0,2021.5.14,"Wilmington, Massachusetts"
100,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1971.0,1997.6.2,"Westlake, Texas"
101,CHTR,Charter Communications,Communication Services,Cable & Satellite,1993.0,2016.9.8,"Stamford, Connecticut"
102,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1879.0,1957.3.4,"San Ramon, California"
103,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1993.0,2011.4.28,"Newport Beach, California"
104,CB,Chubb,Financials,Property & Casualty Insurance,1985.0,2010.7.15,"Zurich, Switzerland"
105,CHD,Church & Dwight,Consumer Staples,Household Products,1847.0,2015.12.29,"Ewing, New Jersey"
106,CI,Cigna,Health Care,Managed Health Care,1982.0,1976.6.30,"Bloomfield, Connecticut"
107,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1950.0,1997.12.18,"Fairfield, Ohio"
108,CTAS,Cintas Corporation,Industrials,Diversified Support Services,1929.0,2001.3.1,"Mason, Ohio"
109,CSCO,Cisco Systems,Information Technology,Communications Equipment,1984.0,1993.12.1,"San Jose, California"
110,C,Citigroup,Financials,Diversified Banks,1998.0,1988.5.31,"New York, New York"
111,CFG,Citizens Financial Group,Financials,Regional Banks,1828.0,2016.1.29,"Providence, Rhode Island"
112,CTXS,Citrix Systems,Information Technology,Application Software,1989.0,1999.12.1,"Fort Lauderdale, Florida"
113,CLX,Clorox,Consumer Staples,Household Products,1913.0,1969.3.31,"Oakland, California"
114,CME,CME Group,Financials,Financial Exchanges & Data,1848.0,2006.8.11,"Chicago, Illinois"
115,CMS,CMS Energy,Utilities,Multi-Utilities,1886.0,1999.5.3,"Jackson, Michigan"
116,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,1886.0,1957.3.4,"Atlanta, Georgia"
117,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,1994.0,2006.11.17,"Teaneck, New Jersey"
118,CL,Colgate-Palmolive,Consumer Staples,Household Products,1806.0,1957.3.4,"New York, New York"
119,CMCSA,Comcast,Communication Services,Cable & Satellite,1963.0,2002.11.19,"Philadelphia, Pennsylvania"
120,CMA,Comerica,Financials,Diversified Banks,1849.0,1995.12.1,"Dallas, Texas"
121,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1919.0,1983.8.31,"Chicago, Illinois"
122,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,2002.0,1957.3.4,"Houston, Texas"
123,ED,Consolidated Edison,Utilities,Electric Utilities,1823.0,1900.1.0,"New York, New York"
124,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1945.0,2005.7.1,"Victor, New York"
125,COO,The Cooper Companies,Health Care,Health Care Supplies,1958.0,2016.9.23,"San Ramon, California"
126,CPRT,Copart,Industrials,Diversified Support Services,1982.0,2018.7.2,"Dallas, Texas"
127,GLW,Corning,Information Technology,Electronic Components,1851.0,1900.1.0,"Corning, New York"
128,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019.0,2019.6.3,"Wilmington, Delaware"
129,COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1976.0,1993.10.1,"Issaquah, Washington"
130,CCI,Crown Castle,Real Estate,Specialized REITs,1994.0,2012.3.14,"Houston, Texas"
131,CSX,CSX,Industrials,Railroads,1980.0,1967.9.30,"Jacksonville, Florida"
132,CMI,Cummins,Industrials,Industrial Machinery,1919.0,1965.3.31,"Columbus, Indiana"
133,CVS,CVS Health,Health Care,Health Care Services,1996.0,1957.3.4,"Woonsocket, Rhode Island"
134,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,1978.0,2005.6.22,"Arlington, Texas"
135,DHR,Danaher Corporation,Health Care,Health Care Equipment,1969.0,1900.1.0,"Washington, D.C."
136,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1938.0,1900.1.0,"Orlando, Florida"
137,DVA,DaVita,Health Care,Health Care Facilities,1979.0,2008.7.31,"Denver, Colorado"
138,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1837.0,1957.3.4,"Moline, Illinois"
139,DAL,Delta Air Lines,Industrials,Airlines,1929.0,2013.9.11,"Atlanta, Georgia"
140,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2016.0,2008.11.14,"Charlotte, North Carolina"
141,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1971.0,2000.8.30,"Oklahoma City, Oklahoma"
142,DXCM,DexCom,Health Care,Health Care Equipment,1999.0,2020.5.12,"San Diego, California"
143,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2007.0,2018.12.3,"Midland, Texas"
144,DLR,Digital Realty Trust,Real Estate,Specialized REITs,2004.0,2016.5.18,"Austin, Texas"
145,DFS,Discover Financial Services,Financials,Consumer Finance,1985.0,2007.7.2,"Riverwoods, Illinois"
146,DISCA,Discovery (Series A),Communication Services,Broadcasting,1985.0,2010.3.1,"New York, New York"
147,DISCK,Discovery (Series C),Communication Services,Broadcasting,1985.0,2014.8.7,"New York, New York"
148,DISH,Dish Network,Communication Services,Cable & Satellite,1980.0,2017.3.13,"Meridian, Colorado"
149,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,1939.0,2012.12.3,"Goodlettsville, Tennessee"
150,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,1986.0,2011.12.19,"Chesapeake, Virginia"
151,D,Dominion Energy,Utilities,Electric Utilities,1983.0,1900.1.0,"Richmond, Virginia"
152,DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,1960.0,2020.5.12,"Ann Arbor, Michigan"
153,DOV,Dover Corporation,Industrials,Industrial Machinery,1955.0,1985.10.31,"Downers Grove, Illinois"
154,DOW,Dow,Materials,Commodity Chemicals,2019.0,2019.4.1,"Midland, Michigan"
155,DTE,DTE Energy,Utilities,Multi-Utilities,1995.0,1957.3.4,"Detroit, Michigan"
156,DUK,Duke Energy,Utilities,Electric Utilities,1904.0,1976.6.30,"Charlotte, North Carolina"
157,DRE,Duke Realty Corp,Real Estate,Industrial REITs,1972.0,2017.7.26,"Indianapolis, Indiana"
158,DD,DuPont,Materials,Specialty Chemicals,2017.0,2019.4.2,"Wilmington, Delaware"
159,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017.0,2017.4.4,"Tysons Corner, Virginia"
160,EMN,Eastman Chemical,Materials,Diversified Chemicals,1920.0,1994.1.1,"Kingsport, Tennessee"
161,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1911.0,1900.1.0,"Dublin, Ireland"
162,EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,1995.0,2002.7.22,"San Jose, California"
163,ECL,Ecolab,Materials,Specialty Chemicals,1923.0,1989.1.31,"St. Paul, Minnesota"
164,EIX,Edison International,Utilities,Electric Utilities,1886.0,1957.3.4,"Rosemead, California"
165,EW,Edwards Lifesciences,Health Care,Health Care Equipment,1958.0,2011.4.1,"Irvine, California"
166,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,1982.0,2002.7.22,"Redwood City, California"
167,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,1890.0,1965.3.31,"Ferguson, Missouri"
168,ENPH,Enphase Energy,Information Technology,Electronic Components,2006.0,2021.1.7,"Fremont, California"
